currency,asset,exchange,strategy,profit[%],profit/day[%],yearly profit[%],Sharpe ratio,market change[%],profit-market,trade amount,trades/day,wining trades,losses trades,percentage wins[%],best win[%],median wins[%],worst loss[%],median loss[%],Avg. exposed duration[min],candle size,warmup period,days of dataset,backtest start,dataset from,dataset to,price volality,strategy settings,note
BNB,ADX,binance,ATR_ADX_v2,-100,-1.64,-589,-1.53,-46.18,-53.82,734,12.03,6,360,1.64,0.41,0.09,-0.37,0,58.22,10,70,61,2018-03-27 17:33:08,2017-12-20 00:03:00,2018-02-19 23:58:00,47.35,"'Sell_ADX_Modifier':1.9, 'Sell_Offset':3, 'ADX':22, 'Buy_ADX_Modifier':0.7, 'ATR':22, 'Buy_Offset':7",shorter period
BNB,CND,binance,ATR_ADX_v2,-99.77,-1.66,-597,-0.83,127.38,-227.15,595,9.92,14,283,4.71,1.15,0.03,-0.34,0,59.09,10,70,60,2018-03-27 17:33:08,2017-12-12 00:00:00,2018-02-10 23:55:00,49.72,"'ADX':22, 'Sell_ADX_Modifier':1.9, 'Sell_Offset':3, 'Buy_ADX_Modifier':0.7, 'ATR':22, 'Buy_Offset':7",shorter period
BNB,GTO,binance,ATR_ADX_v2,-100,-1.64,-589,-1.45,-17.85,-82.15,607,9.95,2,301,0.66,0.34,0.23,-0.28,0,61.45,10,70,61,2018-03-27 17:33:08,2017-12-20 00:01:00,2018-02-19 23:58:00,24.6,"'Sell_Offset':3, 'Sell_ADX_Modifier':1.9, 'ADX':22, 'Buy_Offset':7, 'ATR':22, 'Buy_ADX_Modifier':0.7",shorter period
BNB,NEBL,binance,ATR_ADX_v2,-99.94,-1.75,-629,-2.61,-37.68,-62.26,623,10.93,11,300,3.54,0.07,0.03,-0.26,0,56.91,10,70,57,2018-03-27 17:33:08,2018-01-27 00:03:00,2018-03-25 23:58:00,16.74,"'Buy_Offset':7, 'ATR':22, 'Buy_ADX_Modifier':0.7, 'ADX':22, 'Sell_Offset':3, 'Sell_ADX_Modifier':1.9",shorter period
BNB,NULS,binance,ATR_ADX_v2,-99.98,-1.75,-629,-2.2,-35.94,-64.04,813,14.26,7,399,1.72,0.05,0.02,-0.16,0,54.43,10,70,57,2018-03-27 17:33:08,2018-01-27 00:00:00,2018-03-25 23:58:00,16.63,"'ATR':22, 'Buy_Offset':7, 'Buy_ADX_Modifier':0.7, 'Sell_Offset':3, 'Sell_ADX_Modifier':1.9, 'ADX':22",shorter period
BNB,OST,binance,ATR_ADX_v2,-100,-1.64,-589,-1.22,-57.63,-42.37,733,12.02,0,366,0,0,n/a,-0.3,0,56.34,10,70,61,2018-03-27 17:33:08,2017-12-20 00:00:00,2018-02-19 23:53:00,25.15,"'Sell_Offset':3, 'Sell_ADX_Modifier':1.9, 'ADX':22, 'ATR':22, 'Buy_Offset':7, 'Buy_ADX_Modifier':0.7",shorter period
BNB,WTC,binance,ATR_ADX_v2,-99.75,-1.75,-628,-3.72,-61.73,-38.03,559,9.81,8,271,2.87,0.23,0.03,-0.14,0,63.15,10,70,57,2018-03-27 17:33:08,2018-01-27 00:00:00,2018-03-25 23:54:00,24.05,"'ADX':22, 'Sell_Offset':3, 'Sell_ADX_Modifier':1.9, 'Buy_Offset':7, 'ATR':22, 'Buy_ADX_Modifier':0.7",shorter period
BNB,XLM,binance,ATR_ADX_v2,-99.98,-1.64,-589,-1.39,-8.98,-91.01,677,11.1,7,331,2.07,0.05,0.02,-0.51,0,65.74,10,70,61,2018-03-27 17:33:08,2017-12-20 00:02:00,2018-02-19 23:58:00,29.22,"'Sell_Offset':3, 'Sell_ADX_Modifier':1.9, 'ADX':22, 'ATR':22, 'Buy_Offset':7, 'Buy_ADX_Modifier':0.7",shorter period
BTC,ADA,binance,ATR_ADX_v2,-95.83,-1.57,-564,-1.64,11.87,-107.7,573,9.39,26,260,9.09,1.33,0.07,-0.27,-0.01,72.97,10,70,61,2018-03-27 17:33:08,2017-12-20 00:00:00,2018-02-19 23:58:00,24.43,"'Buy_ADX_Modifier':0.7, 'ATR':22, 'Buy_Offset':7, 'Sell_ADX_Modifier':1.9, 'Sell_Offset':3, 'ADX':22",shorter period
BTC,BNB,binance,ATR_ADX_v2,-97.49,-1.6,-574,-2.24,200.79,-298.28,553,9.07,26,250,9.42,0.42,0.08,-0.19,-0.01,79.35,10,70,61,2018-03-27 17:33:08,2017-12-20 00:00:00,2018-02-19 23:59:00,32.99,"'ATR':22, 'Buy_Offset':7, 'Buy_ADX_Modifier':0.7, 'Sell_Offset':3, 'Sell_ADX_Modifier':1.9, 'ADX':22",shorter period
